titel;tag;start;ende;buehne;thema;speaker
"Playing Pong on a shoulder press machine";"2026-07-09";"16:10";"16:40";"Stage 13";"Emerging Technologies";"Daniel Meilak"
"Keeping Your AI Software Supply Chains Sovereign in the Age of Commercial Open Source";"2026-07-09";"16:10";"16:40";"Airstream 1";"Strategy & Innovation";"Franz Kiraly"
"Shipping with Confidence: Observability and Quality at Scale";"2026-07-09";"16:50";"17:20";"Mainstage";"Quality & Reliability";"Mirko Novakovic"
"The Sustainability Race: AI's Promises, Pitfalls and Potential";"2026-07-09";"16:50";"17:20";"Tech Leaders Stage";"Strategy & Innovation";"Gülnaz Öneş"
"3x Performance: A Humbling Journey";"2026-07-09";"16:50";"17:20";"Stage 1";"Frontend, Web & Mobile";"Luca Trușcă"
"The Migration Cookbook";"2026-07-09";"16:50";"17:20";"Stage 2";"Software Architecture";"Robert Lehmann"
"Event-Driven AI Agents: Orchestrating Long-Context Legal Processing at Scale";"2026-07-09";"16:50";"17:20";"Stage 3";"AI Agents";"Luca Bianchi"
"Unpredictable costs of AI vs predictable cost of Humans";"2026-07-09";"16:50";"17:20";"Stage 4";"People & Culture";"Hung Lee"
"The Private AI Platform: Why Agentic Apps Need a Private Application Platform";"2026-07-09";"16:50";"17:20";"Stage 5";"Cloud & AI Infrastructure";"Oren Penso"
"Code that writes code – .NET Source generators";"2026-07-09";"16:50";"17:20";"Stage 6";"Languages & Runtimes";"Glenn F. Henriksen"
"Supercharge your JVM performance with Project Leyden";"2026-07-09";"16:50";"17:20";"Stage 7";"Languages & Runtimes";"Ana Maria Mihalceanu"
"From Cloud Racks to Control Cabinets: Operating Kubernetes on Edge Devices";"2026-07-09";"16:50";"17:20";"Stage 8";"Cloud & AI Infrastructure";"Thomas Weinschenk"
"Building a Multi-Agent Orchestration Engine That Actually Follows the Rules";"2026-07-09";"16:50";"17:20";"Stage 9";"AI Agents";"Hussein Jundi"
"Passkeys: Truly Phishing-Resistant? Implementation and Pitfalls";"2026-07-09";"16:50";"17:20";"Stage 10";"Security & Privacy";"Martina Kraus"
"AI in Your Browser: Exploring Chrome's Built-In LLM";"2026-07-09";"16:50";"17:20";"Stage 11";"Frontend, Web & Mobile";"Daniel Ostrovsky"
"The OpenTelemetry mistakes I keep seeing (and how to stop making them)";"2026-07-09";"16:50";"17:20";"Stage 12";"DevOps";"Juraci Paixão Kröhling"
"One Pipeline, Three Regulators – SBOM Compliance for the Developer";"2026-07-09";"16:50";"17:20";"Stage 13";"Security & Privacy";"Marcus Ross"
"Hiring Technical Leaders: Promote from Within or Go External?";"2026-07-09";"16:50";"17:20";"Airstream 1";"Talent Strategy";"Barbara Wilk"
"After the Framework Wars: What's Next for Web Development";"2026-07-09";"17:30";"18:00";"Mainstage";"Strategy & Innovation";"Victor Savkin"
"AI-Enabled Organisations: From Strategy to Practice";"2026-07-09";"17:30";"18:00";"Tech Leaders Stage";"Strategy & Innovation";"Chris Daden"
"Continuous Accessibility";"2026-07-09";"17:30";"18:00";"Stage 1";"Frontend, Web & Mobile";"Jörg Jakoby"
"From Scheduler to Events: Rethinking Alerts in a Modular System";"2026-07-09";"17:30";"18:00";"Stage 2";"Software Architecture";"Cristina Musceleanu"
"How to read code (properly)";"2026-07-09";"17:30";"18:00";"Stage 3";"Developer Experience";"Anja Kunkel"
"Cognitive Debt – Why AI makes human judgment the bottleneck";"2026-07-09";"17:30";"18:00";"Stage 4";"Career & Growth";"Elisa Schön"
"Serverless: Hype vs. Reality – Debunking the Most Common Myths";"2026-07-09";"17:30";"18:00";"Stage 5";"Cloud & AI Infrastructure";"Emiliano Della Casa"
""".Net is too slow"" was not an option";"2026-07-09";"17:30";"18:00";"Stage 6";"Languages & Runtimes";"Tomasz Woznica"
"MultiCloudJ – An open source cloud agnostic Java SDK for multicloud development";"2026-07-09";"17:30";"18:00";"Stage 7";"Languages & Runtimes";"Sandeep Pal"
"Hacking AI at the Edge of the Indian Ocean";"2026-07-09";"17:30";"18:00";"Stage 8";"Cloud & AI Infrastructure";"Anastasiia Stefanska"
"Truth, Lies, and Probabilities: Testing AI Hallucinations";"2026-07-09";"17:30";"18:00";"Stage 9";"AI Engineering";"Anastasia Simou"
"Post-Quantum Cryptography: Preparing for Q-Day";"2026-07-09";"17:30";"18:00";"Stage 10";"Security & Privacy";"Tim Schade"
"The two trees of React";"2026-07-09";"17:30";"18:00";"Stage 11";"Frontend, Web & Mobile";"Carl Assmann"
"My Lawyer Merged My PR: Automating OSS Compliance at Scale";"2026-07-09";"17:30";"18:00";"Stage 12";"DevOps";"Uwe Korn"
"Trust at scale";"2026-07-09";"17:30";"18:00";"Stage 13";"Engineering Leadership";"Mike Fynes"
"Your Competitors Know Your Skills Better Than You Do";"2026-07-09";"17:30";"18:00";"Airstream 1";"Talent Strategy";"Diana Gehrke"
"Booth Crawl @Expo Halls";"2026-07-09";"18:00";"20:00";"Expo Hall 2.2 & A";"Networking";""
"Drag Karaoke";"2026-07-09";"18:00";"20:00";"CityCube";"Entertainment";""
"CODE100 Finals – Europe's Ultimate Coding Competition";"2026-07-09";"19:00";"20:00";"CityCube";"Competition";""
"Official Congress Party powered by WeAreDevelopers";"2026-07-09";"20:00";"00:00";"South Entrance Hall";"Networking";""
"Doors open – Tag 2";"2026-07-10";"08:00";"";"CityCube";"Community";""
"Hauptprogramm auf allen 20+ Stages (Detailprogramm auf wearedevelopers.com – noch nicht veröffentlicht)";"2026-07-10";"09:00";"17:00";"Alle Stages";"Community";""
"Tech Expo – hunderte Firmen, Hands-on-Demos & Experten-Gespräche";"2026-07-10";"09:00";"17:00";"Expo Halls";"Networking";""
"Workshops & Masterclasses (ganztägig, parallel)";"2026-07-10";"09:00";"17:00";"Workshop-Räume";"Community";""
"Closing Keynote – ""Was wirklich zählte, und was in den nächsten Monaten kommt""";"2026-07-10";"17:30";"";"Mainstage";"Opening";""
